timestamp,idx,n_total,method,aggregation,score,param.dim,param.attr_mode,param.weights_vec,raw.params
"2025-09-29 14:56:34,390",30,264,fastrp-het,global_attention,0.4626,64,,"[1,1,1,1,1,1,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 14:56:45,725",31,264,fastrp-het,set2set,0.4843,64,,"[1,1,1,1,1,1,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 14:56:56,758",32,264,fastrp-het,mil_attention,0.4548,64,,"[1,1,1,1,1,1,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 14:57:07,710",33,264,fastrp-het,mean_pool,0.4745,64,,"[1,1,1,1,1,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 14:57:18,822",34,264,fastrp-het,global_attention,0.5215,64,,"[1,1,1,1,1,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 14:57:29,087",35,264,fastrp-het,set2set,0.5309,64,,"[1,1,1,1,1,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 14:57:40,120",36,264,fastrp-het,mil_attention,0.451,64,,"[1,1,1,1,1,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 14:57:51,119",37,264,fastrp-het,mean_pool,0.4739,64,,"[1,1,1,1,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 14:58:01,461",38,264,fastrp-het,global_attention,0.4793,64,,"[1,1,1,1,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 14:58:12,631",39,264,fastrp-het,set2set,0.4926,64,,"[1,1,1,1,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 14:58:22,778",40,264,fastrp-het,mil_attention,0.4623,64,,"[1,1,1,1,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 14:58:33,757",41,264,fastrp-het,mean_pool,0.4749,64,,"[1,1,1,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 14:58:44,916",42,264,fastrp-het,global_attention,0.4647,64,,"[1,1,1,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 14:58:55,146",43,264,fastrp-het,set2set,0.4722,64,,"[1,1,1,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 14:59:06,212",44,264,fastrp-het,mil_attention,0.4879,64,,"[1,1,1,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 14:59:17,184",45,264,fastrp-het,mean_pool,0.472,64,,"[1,1,0,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]}"
