feature,kind,metric,value,n,note
aggregation,categorical,top_mean_minus_global,0.00696071428571432,252,top=set2set
param.weights_vec,categorical,top_mean_minus_global,0.006928571428571506,252,"top=[1,1,1,1,1,0,0,0,0,0]"
method,categorical,top_mean_minus_global,1.1102230246251565e-16,252,top=fastrp-het
param.attr_mode,categorical,top_mean_minus_global,1.1102230246251565e-16,252,top=nan
param.dim,numeric,pearson_r,0.889917674567497,252,
